Ссылка,Бренд,Модель,Цвет,Характеристики,Пол,Цена,Картинки,Картинки_в_файле
/p-nike-wmns-air-max-plus-tnpo-sneakers-black-9-multicolor-V151558263,Women's Air Max Plus TNPO Sneakers Black - 9 / Multicolor,Women's Air Max Plus TNPO Sneakers Black - 9 / Multicolor,Разноцветный,{},,28 554 ,https://cdn.4stand.com/large/f3/6d/f36de8e421f0268d23b14c88293af2b1e7aa6b87.jpg,f36de8e421f0268d23b14c88293af2b1e7aa6b87.jpg
/p-nike-wmns-flyknit-haven-sneakers-sea-glass-6-multicolor-V143849504,Women's Flyknit Haven Sneakers Sea Glass - 6 / Multicolor,Women's Flyknit Haven Sneakers Sea Glass - 6 / Multicolor,Разноцветный,{},,8 730 ,https://cdn.4stand.com/large/c3/36/c336844376f056489a0261c320feabf2a2e10ead.jpg,c336844376f056489a0261c320feabf2a2e10ead.jpg
/p-nike-acg-torre-mid-waterproof-sneakers-light-pumice-dark-raisin-7-5-multicolor-V143851760,ACG Torre Mid Waterproof Sneakers Light Pumice / Dark Raisin - 7.5 / Multicolor,ACG Torre Mid Waterproof Sneakers Light Pumice / Dark Raisin - 7.5 / Multicolor,Разноцветный,{},,21 474 ,https://cdn.4stand.com/large/9a/9e/9a9e54228d54eed8a77d7deb8feb7435cf676695.jpg,9a9e54228d54eed8a77d7deb8feb7435cf676695.jpg
/p-nike-air-force-1-07-prm-sneakers-light-cream-5-multicolor-V151545905,Air Force 1 '07 PRM Sneakers Light Cream - 5 / Multicolor,Air Force 1 '07 PRM Sneakers Light Cream - 5 / Multicolor,Разноцветный,{},,9 438 ,https://cdn.4stand.com/large/b6/bf/b6bf36d272984acc253e9c09160b337b7b7cde40.jpg,b6bf36d272984acc253e9c09160b337b7b7cde40.jpg
/p-nike-acg-lowcate-wolf-grey-navy-grey-fog-summit-white-7-V144543977,Nike ACG Lowcate - Wolf Grey / Navy / Grey Fog / Summit White - 7,Nike ACG Lowcate - Wolf Grey / Navy / Grey Fog / Summit White - 7,,{},,8 730 ,https://cdn.4stand.com/large/d7/67/d7671d740956c16414d04f0578424ef7b5fcb328.jpg,d7671d740956c16414d04f0578424ef7b5fcb328.jpg
/p-nike-wmns-phoenix-waffle-sneakers-chlorophyll-safety-orange-5-5-multicolor-V143657048,Women's Phoenix Waffle Sneakers Chlorophyll / Safety Orange - 5.5 / Multicolor,Women's Phoenix Waffle Sneakers Chlorophyll / Safety Orange - 5.5 / Multicolor,Разноцветный,{},,7 314 ,https://cdn.4stand.com/large/c3/41/c341ca39ad84fbe2d34a683c58b018297491c1e2.jpg,c341ca39ad84fbe2d34a683c58b018297491c1e2.jpg
/p-nike-wmns-dunk-low-sneakers-white-black-5-5-multicolor-V143653355,Women's Dunk Low Sneakers White / Black - 5.5 / Multicolor,Women's Dunk Low Sneakers White / Black - 5.5 / Multicolor,Разноцветный,{},,17 226 ,https://cdn.4stand.com/large/5d/b6/5db6b7ce2b2723b9c347c616bbdcf772f91d8e65.jpg,5db6b7ce2b2723b9c347c616bbdcf772f91d8e65.jpg
/p-nike-air-max-infinity-2-V129355002,Nike Air Max Infinity 2,Nike Air Max Infinity 2,Черный,{},Мужской,13 340 ,https://cdn.4stand.com/large/fd/9a/fd9ad67331f3c705f66f0988065ea707797775a2.jpg,fd9ad67331f3c705f66f0988065ea707797775a2.jpg
/p-nike-field-general-82-white-gorge-green-black-6-5-V144648613,Nike Field General 82 - White / Gorge Green / Black - 6.5,Nike Field General 82 - White / Gorge Green / Black - 6.5,,{},,14 253 ,https://cdn.4stand.com/large/63/e1/63e1050ae3924970d67a9eed17c9ffe79e654449.jpg,63e1050ae3924970d67a9eed17c9ffe79e654449.jpg
/p-nike-phantom-gt2-academy-ic-V145670769,Nike Phantom GT2 Academy IC,Nike Phantom GT2 Academy IC,Черный,{},Мужской,13 340 ,https://cdn.4stand.com/large/58/e0/58e0404c00ae87a557873674f2ab977fbee581f9.jpg,58e0404c00ae87a557873674f2ab977fbee581f9.jpg
/p-nike-air-vapormax-2021-fk-V129209265,Nike Air Vapormax 2021 FK,Nike Air Vapormax 2021 FK,Черный,{},Мужской,23 936 ,https://cdn.4stand.com/large/4f/43/4f43ff6d1794c89792157074f26dc4b48f03488f.jpg,4f43ff6d1794c89792157074f26dc4b48f03488f.jpg
/p-nike-acg-air-exploraid-sneakers-summit-white-red-4-multicolor-V143664908,ACG Air Exploraid Sneakers Summit White / Red - 4 / Multicolor,ACG Air Exploraid Sneakers Summit White / Red - 4 / Multicolor,Разноцветный,{},,9 155 ,https://cdn.4stand.com/large/9d/aa/9daabf9d2d51524f5ad9f7d8c6e3436d2a8bfe01.jpg,9daabf9d2d51524f5ad9f7d8c6e3436d2a8bfe01.jpg
/p-nike-flex-experience-rn-11-nn-V154863163,Nike Flex Experience RN 11 NN,Nike Flex Experience RN 11 NN,Красный,{},Мужской,10 776 ,https://cdn.4stand.com/large/a7/26/a726728cdaf8e06e0a035fd831f872f392016669.jpg,a726728cdaf8e06e0a035fd831f872f392016669.jpg
/p-nike-jordan-air-cadence-V152336334,Nike Jordan Air Cadence,Nike Jordan Air Cadence,Черный,{},Мужской,20 005 ,https://cdn.4stand.com/large/6e/c5/6ec5137b9576a215315580d3e0baba54117e9a2c.jpg,6ec5137b9576a215315580d3e0baba54117e9a2c.jpg
/p-nike-air-force-1-low-07-lv8-V129403144,Nike Air Force 1 Low ’07 Lv8,Nike Air Force 1 Low ’07 Lv8,Черный,{},Мужской,23 594 ,https://cdn.4stand.com/large/cc/58/cc5845f20132a47f7bfcbaba5dfbfcf4b57dfe9d.jpg,cc5845f20132a47f7bfcbaba5dfbfcf4b57dfe9d.jpg
/p-nike-air-max-90-V129386565,Nike Air Max 90,Nike Air Max 90,Черный,{},Мужской,26 158 ,https://cdn.4stand.com/large/77/d8/77d813db6fdddf09d0e5ddb64793d1b658b2cf38.jpg,77d813db6fdddf09d0e5ddb64793d1b658b2cf38.jpg
/p-nike-revolution-6-next-nature-V129211491,Nike Revolution 6 Next Nature,Nike Revolution 6 Next Nature,Черный,{},Мужской,8 383 ,https://cdn.4stand.com/large/e4/15/e4152899f77fbefc1700dcffb014ebd5082f0d36.jpg,e4152899f77fbefc1700dcffb014ebd5082f0d36.jpg
/p-nike-p-6000-premium-fn6837-012-V143751773,P-6000 Premium | FN6837-012,P-6000 Premium | FN6837-012,LT IRON ORE/METALLIC SILVER-PHOTON DUST,{},Мужской,17 934 ,https://cdn.4stand.com/large/5c/03/5c033dd1d0e999489b3238b3953db393ecab966f.jpg,5c033dd1d0e999489b3238b3953db393ecab966f.jpg
/p-nike-react-infinity-run-flyknit-3-V152337965,Nike React Infinity Run Flyknit 3,Nike React Infinity Run Flyknit 3,Черный,{},Мужской,21 372 ,https://cdn.4stand.com/large/12/4e/124ec1748eb0d6d7ae179e9dab7f5f895f8d408c.jpg,124ec1748eb0d6d7ae179e9dab7f5f895f8d408c.jpg
/p-nike-air-force-1-V152371750,Nike Air Force 1,Nike Air Force 1,Brownn,{},Мужской,26 158 ,https://cdn.4stand.com/large/91/58/9158ef423613b940a0e5b70df4e6f54a62e8b54d.jpg,9158ef423613b940a0e5b70df4e6f54a62e8b54d.jpg
/p-nike-air-max-97-V148231106,Nike Air Max 97,Nike Air Max 97,Черный,{},Мужской,31 798 ,https://cdn.4stand.com/large/25/ff/25ff3d9f4f29f6b34c871480650999a3e17650b4.jpg,25ff3d9f4f29f6b34c871480650999a3e17650b4.jpg
/p-nike-revolution-6-next-nature-V152336155,Nike Revolution 6 Next Nature,Nike Revolution 6 Next Nature,Синий,{},Мужской,8 726 ,https://cdn.4stand.com/large/e1/15/e1157c4f3c4b91e5193709a265731c21d9e8a266.jpg,e1157c4f3c4b91e5193709a265731c21d9e8a266.jpg
/p-nike-blazer-low-77-prm-m-V152353386,Nike Blazer Low 77 Prm M,Nike Blazer Low 77 Prm M,Белый,{},Мужской,15 730 ,https://cdn.4stand.com/large/a8/4f/a84f391cf2c40f5912373ae709fe68ebb1c93c3b.jpg,a84f391cf2c40f5912373ae709fe68ebb1c93c3b.jpg
/p-nike-court-vision-V129212026,Nike Court Vision,Nike Court Vision,Белый,{},Мужской,10 434 ,https://cdn.4stand.com/large/1b/26/1b26df05fa5c33422e886a34317c9c58d72c17a1.jpg,1b26df05fa5c33422e886a34317c9c58d72c17a1.jpg
/p-nike-air-jordan-1-low-V131181363,Nike Air Jordan 1 Low,Nike Air Jordan 1 Low,"Черный, Зеленый",{},Мужской,16 587 ,https://cdn.4stand.com/large/1e/c8/1ec80e2c7ed07da605adb378253954b8613d57ec.jpg,1ec80e2c7ed07da605adb378253954b8613d57ec.jpg
/p-nike-air-max-terrascape-90-V129376276,Nike Air Max Terrascape 90,Nike Air Max Terrascape 90,"Черный, Красный",{},Мужской,23 423 ,https://cdn.4stand.com/large/83/56/8356afd86d560947d84af8bca08831690eafd781.jpg,8356afd86d560947d84af8bca08831690eafd781.jpg
/p-nike-billie-eilish-air-force-1-high-07-sneakers-sequoia-9-multicolor-V151536805,Billie Eilish Air Force 1 High '07 Sneakers Sequoia - 9 / Multicolor,Billie Eilish Air Force 1 High '07 Sneakers Sequoia - 9 / Multicolor,Разноцветный,{},,15 527 ,https://cdn.4stand.com/large/18/75/1875c714fc200588316bd8d56078f6b26ca5de8e.jpg,1875c714fc200588316bd8d56078f6b26ca5de8e.jpg
/p-nike-primo-court-leather-V154861213,Nike Primo Court Leather,Nike Primo Court Leather,"Черный, Белый",{},Мужской,7 699 ,https://cdn.4stand.com/large/38/c6/38c6800e368a55f9510a3cb42b7171fdd20b7e6a.jpg,38c6800e368a55f9510a3cb42b7171fdd20b7e6a.jpg
/p-nike-md-runner-2-V152324121,Nike MD Runner 2,Nike MD Runner 2,Черный,{},Мужской,11 801 ,https://cdn.4stand.com/large/59/59/59596857c485ba8fc7244d362ea4d5ce5605478e.jpg,59596857c485ba8fc7244d362ea4d5ce5605478e.jpg
/p-nike-precision-v-V152334380,Nike Precision V,Nike Precision V,Черный,{},Мужской,10 263 ,https://cdn.4stand.com/large/e1/08/e1089ff3315e8f93710e7282a8cfdda41935678a.jpg,e1089ff3315e8f93710e7282a8cfdda41935678a.jpg
/p-nike-react-infinity-run-fk-3-V129231479,Nike React Infinity Run FK 3,Nike React Infinity Run FK 3,Черный,"{'Fit, breathability and flexibility ': 'Fit, breathability and flexibility -The Flyknit material on the entire surface of the upper creates special zones that provide optimal breathability, flexibility and support. As a result, you feel confident and your feet can move without restrictions. Flywire cables consistently provide midfoot support.', 'Stability and fluidity of movement ': ""Stability and fluidity of movement -Nike React is a light and durable foam that allows smooth and dynamic movement. Cradle-shaped foam provides support during the three phases of the runner's stride. It increases flexibility when lifting the foot off the ground, smoothness of movement when moving the foot forward and cushioning when the foot contacts the ground. Its wider shape gives better stability and helps release energy with each step."", 'Higher level of cushioning ': 'Higher level of cushioning -Less material between the sockliner and midsole means the foot is closer to the foam. This allows for increased dynamics. Higher foam increases the feeling of softness.'}",Мужской,24 619 ,https://cdn.4stand.com/large/0e/2d/0e2d2ef1b4c19b3fe667b73ef17365a85cc7fa1e.jpg,0e2d2ef1b4c19b3fe667b73ef17365a85cc7fa1e.jpg
/p-nike-giannis-immortality-V130592276,Nike Giannis Immortality,Nike Giannis Immortality,Черный,{},Мужской,17 100 ,https://cdn.4stand.com/large/b5/07/b5077e1ad7f80ff0bd662e849211344c4807ba70.jpg,b5077e1ad7f80ff0bd662e849211344c4807ba70.jpg
/p-nike-air-jordan-legacy-312-low-V152367019,Nike Air Jordan Legacy 312 Low,Nike Air Jordan Legacy 312 Low,Белый,{},Мужской,25 985 ,https://cdn.4stand.com/large/7f/db/7fdb73589caee330416162b86b88ead9115ab154.jpg,7fdb73589caee330416162b86b88ead9115ab154.jpg
/p-nike-sb-trainerendor-acg-V152225056,SB Trainerendor ACG,SB Trainerendor ACG,Gamme Blue/Black-Black-Atomic Pink,{},,26 706 ,https://cdn.4stand.com/large/d0/eb/d0ebf62ad5176e6d14c61291336c2391947269a3.jpg,d0ebf62ad5176e6d14c61291336c2391947269a3.jpg
/p-nike-air-force-max-low-V152332967,Nike Air Force Max Low,Nike Air Force Max Low,Черный,{},Мужской,22 226 ,https://cdn.4stand.com/large/bf/b2/bfb28bbc92e8a4b76d539461fc45ca4876523715.jpg,bfb28bbc92e8a4b76d539461fc45ca4876523715.jpg
/p-nike-crater-impact-V129237483,Nike Crater Impact,Nike Crater Impact,Черный,{},Мужской,11 459 ,https://cdn.4stand.com/large/ca/5c/ca5c73088b6d46ab4fef2d204eda14521fcdb974.jpg,ca5c73088b6d46ab4fef2d204eda14521fcdb974.jpg
/p-nike-sb-force-58-premium-V152336902,Nike SB Force 58 Premium,Nike SB Force 58 Premium,Черный,{},Мужской,10 434 ,https://cdn.4stand.com/large/03/1b/031b98336626fd127e9d78256bac6de06b9176a9.jpg,031b98336626fd127e9d78256bac6de06b9176a9.jpg
/p-nike-zoomx-invincible-run-fk-3-V129335280,Nike Zoomx Invincible Run FK 3,Nike Zoomx Invincible Run FK 3,Белый,{},Мужской,26 500 ,https://cdn.4stand.com/large/dc/68/dc68bcb247b58692d384e95622e2bc3048876af6.jpg,dc68bcb247b58692d384e95622e2bc3048876af6.jpg
/p-nike-air-force-107-V129677657,Nike Air Force 107,Nike Air Force 107,Белый,{},Мужской,17 270 ,https://cdn.4stand.com/large/12/19/1219ec940bd2a4cae321a9554fc253356aeb126c.jpg,1219ec940bd2a4cae321a9554fc253356aeb126c.jpg
/p-nike-air-huarache-V152338896,Nike Air Huarache,Nike Air Huarache,Белый,{},Мужской,18 980 ,https://cdn.4stand.com/large/42/36/4236920c7f38301e1993d968983940199973ba1e.jpg,4236920c7f38301e1993d968983940199973ba1e.jpg
/p-nike-air-zoom-alpha-retro-nike-air-zoom-bq8800-003-V121448708,Обувь спортивная Nike Air Zoom Alpha Retro BQ8800-003,Обувь спортивная Nike Air Zoom Alpha Retro BQ8800-003,,"{'Амортизация и комфорт': 'Амортизация и комфорт:Технология Zoom Air обеспечивает отличную амортизацию, создавая ощущение легкости на каждом шагу.', 'Материалы': 'Материалы:Верх выполнен из качественного синтетического материала и сетки, что обеспечивает долговечность и хорошую вентиляцию. Подошва из прочной резины гарантирует отличное сцепление с различными поверхностями.', 'Дизайн': 'Дизайн:Стильное сочетание черного и зеленого идеально подходит как для занятий спортом, так и для повседневного ношения.', 'Поддержка и удобство': 'Поддержка и удобство:Специальная конструкция верха обеспечивает дополнительную поддержку и фиксацию стопы, уменьшая усталость при длительных нагрузках.', 'Вес': 'Вес:Легкие материалы снижают общий вес кроссовок, улучшая комфорт во время продолжительных тренировок.'}",Мужской,7 157 ,https://cdn.4stand.com/large/11/65/116555382f5d400a28131684adc17b987ec841c5.jpg,116555382f5d400a28131684adc17b987ec841c5.jpg
/p-nike-court-royale-2-nn-V129232826,Nike Court Royale 2 NN,Nike Court Royale 2 NN,Белый,{},Мужской,9 067 ,https://cdn.4stand.com/large/a3/80/a3805c45520d55e250653c5a6c526b73523b6720.jpg,a3805c45520d55e250653c5a6c526b73523b6720.jpg
/p-nike-air-jordan-1-low-V129939376,Nike Air Jordan 1 Low,Nike Air Jordan 1 Low,"Черный, Белый",{},Мужской,18 808 ,https://cdn.4stand.com/large/26/0d/260dfdaa0abbf241f9455d9f83221a56db7f9e54.jpg,260dfdaa0abbf241f9455d9f83221a56db7f9e54.jpg
/p-nike-air-force-1-07-fm-V129227934,Nike Air Force 1 07 FM,Nike Air Force 1 07 FM,"Белый, Синий",{},Мужской,16 416 ,https://cdn.4stand.com/large/e7/3f/e73f9de004cf5fd2583792a833604a876766aa71.jpg,e73f9de004cf5fd2583792a833604a876766aa71.jpg
/p-nike-sb-zoom-blazer-pro-V129210201,Nike SB Zoom Blazer Pro,Nike SB Zoom Blazer Pro,Бежевый,{},Мужской,9 751 ,https://cdn.4stand.com/large/54/5f/545fe26bee27a0996423f6ad8936c2ee02bc857b.jpg,545fe26bee27a0996423f6ad8936c2ee02bc857b.jpg
/p-nike-pegasus-turbo-V129239104,Nike Pegasus Turbo,Nike Pegasus Turbo,"Черный, Белый",{},Мужской,20 689 ,https://cdn.4stand.com/large/34/fb/34fbe558d2d25d1757a939ad98e0137b5592b63e.jpg,34fbe558d2d25d1757a939ad98e0137b5592b63e.jpg
/p-nike-jordan-eclipse-lea-724368-624-V152326053,Nike Jordan Eclipse Lea 724368 624,Nike Jordan Eclipse Lea 724368 624,Красный,{},Мужской,18 466 ,https://cdn.4stand.com/large/bb/d2/bbd243c765882ebbaf81ca5384b7bd2e4e384c14.jpg,bbd243c765882ebbaf81ca5384b7bd2e4e384c14.jpg
/p-nike-air-force-1-lv8-V152338956,Nike Air Force 1 LV8,Nike Air Force 1 LV8,Белый,{},Мужской,26 158 ,https://cdn.4stand.com/large/9a/7f/9a7fd5c39ce87d3c0cb5575da6d56b121182cc02.jpg,9a7fd5c39ce87d3c0cb5575da6d56b121182cc02.jpg
/p-nike-air-zoom-pegasus-39-V129265978,Nike Air Zoom Pegasus 39,Nike Air Zoom Pegasus 39,,{},Мужской,18 296 ,https://cdn.4stand.com/large/15/fc/15fcf7e9302d45b866f1dfeecc7f3214f3b0fa1e.jpg,15fcf7e9302d45b866f1dfeecc7f3214f3b0fa1e.jpg
/p-nike-waffle-debut-premium-V129295404,Nike Waffle Debut Premium,Nike Waffle Debut Premium,Черный,{},Мужской,9 751 ,https://cdn.4stand.com/large/8c/3d/8c3d8c3973a19b5ceea3e997820c5b1995b870ad.jpg,8c3d8c3973a19b5ceea3e997820c5b1995b870ad.jpg
/p-nike-air-max-invigor-V130560281,Nike Air Max Invigor,Nike Air Max Invigor,"Черный, Серый",{},Мужской,16 929 ,https://cdn.4stand.com/large/e8/bb/e8bb30d1e01e85e952289be65237ccf084419e1b.jpg,e8bb30d1e01e85e952289be65237ccf084419e1b.jpg
/p-nike-challenger-og-V129206941,Nike Challenger OG,Nike Challenger OG,Черный,{},Мужской,11 972 ,https://cdn.4stand.com/large/36/80/36803599afe2c686bf89542195e35fd869c8cb10.jpg,36803599afe2c686bf89542195e35fd869c8cb10.jpg
/p-nike-waffle-one-V129223359,Nike Waffle One,Nike Waffle One,Черный,{},Мужской,15 048 ,https://cdn.4stand.com/large/c1/b0/c1b006b34276916a10198a0cb3579afe9ed5510e.jpg,c1b006b34276916a10198a0cb3579afe9ed5510e.jpg
/p-nike-hyperlive-V154618609,Nike Hyperlive,Nike Hyperlive,Черный,{},Мужской,17 100 ,https://cdn.4stand.com/large/e0/7b/e07bc9054036807404af80adfffb9528006b51c7.jpg,e07bc9054036807404af80adfffb9528006b51c7.jpg
/p-nike-jordan-delta-2-V130592400,Nike Jordan Delta 2,Nike Jordan Delta 2,Бежевый,{},Мужской,21 714 ,https://cdn.4stand.com/large/05/f4/05f48d537ea2b9a42e94b0144fee8c5767a50f21.jpg,05f48d537ea2b9a42e94b0144fee8c5767a50f21.jpg
/p-nike-pegasus-trail-3-V129239646,Nike Pegasus Trail 3,Nike Pegasus Trail 3,Серый,{},Мужской,14 536 ,https://cdn.4stand.com/large/a3/7e/a37ebafe035c422210289be853fbaefbb7bd9628.jpg,a37ebafe035c422210289be853fbaefbb7bd9628.jpg
/p-nike-air-max-plus-V137752709,Nike Air Max Plus,Nike Air Max Plus,Белый,{},Мужской,27 867 ,https://cdn.4stand.com/large/f2/05/f2053ffc59c4623d7c9e9e8e379e5324616df88e.jpg,f2053ffc59c4623d7c9e9e8e379e5324616df88e.jpg
/p-adidas-spiritain-2000-krossovki-adidas-spiritain-2000-id5412-V149721211,Кроссовки Adidas Spiritain 2000 ID5412,Кроссовки Adidas Spiritain 2000 ID5412,,"{'Материал верха': 'Материал верха:Дышащий текстиль и синтетика. Обеспечивают отличную вентиляцию и комфорт даже при интенсивных нагрузках.', 'Подошва': 'Подошва:Прочная и гибкая из износостойкой резины. Обеспечивает великолепное сцепление с поверхностью и отличную амортизацию для защиты суставов.', 'Внутренняя стелька': 'Внутренняя стелька:Мягкая и удобная, поддерживает свод стопы и снижает усталость при долгих тренировках.', 'Шнуровка': 'Шнуровка:Удобная и надёжная. Фиксирует стопу, предотвращая её скольжение внутри обуви во время бега.', 'Логотип adidas': 'Логотип adidas:Элегантно расположен на боковой стороне, подчёркивая принадлежность к известному бренду и добавляя завершающий штрих к современному дизайну.'}",Мужской,6 933 ,https://cdn.4stand.com/large/1b/26/1b2652d394d89744396585b1a4bf4520d83b49da.jpg,1b2652d394d89744396585b1a4bf4520d83b49da.jpg
/p-adidas-spiritain-2000-krossovki-adidas-spiritain-2000-ie1890-V121179111,Кроссовки Adidas Spiritain 2000,Кроссовки Adidas Spiritain 2000,,{},Мужской,7 505 ,https://cdn.4stand.com/large/d2/b4/d2b456eeb1a272dbcd3a40ce2e73d1e6ed84b349.jpg,d2b456eeb1a272dbcd3a40ce2e73d1e6ed84b349.jpg
/p-adidas-trae-unlimited-m-if5609-shoes-V145214616,Adidas Trae Unlimited M IF5609 shoes,Adidas Trae Unlimited M IF5609 shoes,Белый,"{'Обычная посадка': 'Обычная посадка:Оптимально подходит для большинства пользователей, обеспечивая комфортное прилегание.', 'Шнуровка': 'Шнуровка:Надежная фиксация стопы для уверенной игры.', 'Верх из моно-сетки': 'Верх из моно-сетки:Обеспечивает отличную вентиляцию и легкость кроссовок.', 'Легкий на ощупь': 'Легкий на ощупь:Кроссовки практически не ощущаются на ноге, что уменьшает усталость.', 'Текстильная подкладка': 'Текстильная подкладка:Дополнительный комфорт и мягкость внутри.', 'Светоотражающая промежуточная подошва': 'Светоотражающая промежуточная подошва:Улучшенная видимость в условиях низкой освещенности.', 'Резиновая подошва с зонами бокового сцепления': 'Резиновая подошва с зонами бокового сцепления:Гарантирует надежное сцепление при смене направлений и быстрых рывках к корзине.'}",Мужской,11 492 ,https://cdn.4stand.com/large/09/45/0945fff082d3c14f9e85ad2b647bb9adb6d3e076.jpg,0945fff082d3c14f9e85ad2b647bb9adb6d3e076.jpg
/p-adidas-campus-V129381644,Adidas Campus,Adidas Campus,Черный,{},Мужской,13 340 ,https://cdn.4stand.com/large/9f/94/9f946c3b4ac48d24cc113864281721485c0254a5.jpg,9f946c3b4ac48d24cc113864281721485c0254a5.jpg
/p-adidas-spiritain-2000-obuv-sportivnaya-adidas-spiritain-2000-dlya-bega-V146035887,Обувь спортивная Adidas Spiritain 2000 для бега,Обувь спортивная Adidas Spiritain 2000 для бега,,"{'Дизайн': 'Дизайн:Элегантное сочетание белого и черного цветов легко вписывается в любой спортивный гардероб, подчеркивая ваш стиль и уверенность.', 'Материалы': 'Материалы:Верх выполнен из высококачественного дышащего синтетического материала, обеспечивающего отличную вентиляцию и предотвращающего перегрев ступней.', 'Подошва': 'Подошва:Легкая и гибкая резиновая подошва гарантирует надежное сцепление с различными поверхностями, улучшая устойчивость и амортизацию и снижая нагрузку на суставы.', 'Удобство': 'Удобство:Эргономичная стелька и мягкий внутренний слой создают условия для комфортной посадки и надежной поддержки стопы на протяжении всей тренировки.', 'Фиксация': 'Фиксация:Классическая шнуровка обеспечивает точное подгонку кроссовок по размеру и надежную фиксацию на ноге, предотвращая скольжение.'}",Мужской,6 586 ,https://cdn.4stand.com/large/e4/5f/e45f83af9d16a2ff374261a62f0e791d77ba2222.jpg,e45f83af9d16a2ff374261a62f0e791d77ba2222.jpg
/p-adidas-superstar-V128972515,Adidas Superstar,Adidas Superstar,Белый,{},Мужской,7 699 ,https://cdn.4stand.com/large/f2/57/f2578cca55cc815cb55bc59437292a404b3dcdf3.jpg,f2578cca55cc815cb55bc59437292a404b3dcdf3.jpg
/p-adidas-supercourt-rx-shoesk-m-fw5354-V154673726,Adidas Supercourt RX Shoesk M FW5354,Adidas Supercourt RX Shoesk M FW5354,Разноцветный,"{'Праздничное издание': 'Праздничное издание:кроссовки созданы в честь Китайского Нового года, что делает их уникальными и коллекционными.', 'Кожаный верх': 'Кожаный верх:натуральная кожа используется для верхней части кроссовок, обеспечивая долговечность и стильный внешний вид.', 'Перфорация': 'Перфорация:дополнительные боковые перфорации улучшают вентиляцию, позволяя ногам ""дышать"" в течение дня.', 'Классическая шнуровка': 'Классическая шнуровка:система классической шнуровки гарантирует надежную посадку и удобство при ношении.', 'Кожаная внутренняя часть': 'Кожаная внутренняя часть:мягкая кожаная внутренняя поверхность обеспечивает дополнительный комфорт и приятные ощущения при ходьбе.', 'Разделенная резиновая подошва': 'Разделенная резиновая подошва:прочная резиновая подошва со специальными разделениями обеспечивает отличное сцепление и износостойкость.'}",Мужской,13 621 ,https://cdn.4stand.com/large/d7/2e/d72ebde1826d9f6c2c130e7334ed44de35c35c92.jpg,d72ebde1826d9f6c2c130e7334ed44de35c35c92.jpg
/p-buty-sportowe-adidas-duramo-10-gw4073-V82564205,Adidas Duramo 10 [GW4073] - спортивные кроссовки,Adidas Duramo 10 [GW4073] - спортивные кроссовки,"Зеленый, Серый","{'Материал верха': 'Материал верха:Текстильная сетка, обеспечивающая отличное прилегание и воздухопроницаемость. Ваши ноги будут чувствовать себя комфортно даже при длительных тренировках.', 'Поддержка стопы': 'Поддержка стопы:Синтетические элементы для лучшей фиксации стопы, что снижает риск травм и обеспечивает дополнительную стабильность.', 'Застежка': 'Застежка:Классическая шнуровка, обеспечивающая индивидуальное и надежное прилегание обуви к ноге.', 'Подошва': 'Подошва:Резиновая, предоставляющая превосходное сцепление с любой поверхностью, будь то беговая дорожка или городская улица.', 'Стиль': 'Стиль:Современный дизайн, идеально подходящий как для спортивных, так и для повседневных нарядов.'}",Мужской,5 830 ,https://cdn.4stand.com/large/b8/e2/b8e23bf5f538ecf4049f6179d6a758dd391b9f77.jpg,b8e23bf5f538ecf4049f6179d6a758dd391b9f77.jpg
/p-adidas-strutter-V129196690,Adidas Strutter,Adidas Strutter,Черный,{},Мужской,8 554 ,https://cdn.4stand.com/large/9f/d3/9fd3d96a8fb34c519c63ec5809920d47082d3ff1.jpg,9fd3d96a8fb34c519c63ec5809920d47082d3ff1.jpg
/p-adidas-new-wings-kids-x-jeremy-scott-gy1849-V143763072,New Wings Kids x Jeremy Scott | GY1849,New Wings Kids x Jeremy Scott | GY1849,Черный,{},"Девочки, Мальчики",6 040 ,https://cdn.4stand.com/large/43/40/4340c8f5bbdcdfa030ae9e09b7df74a163ca8b2c.jpg,4340c8f5bbdcdfa030ae9e09b7df74a163ca8b2c.jpg
/p-buty-sportowe-adidas-ozelle-gx6762-V77580889,Adidas Ozelle [GX6762] - спортивные кроссовки,Adidas Ozelle [GX6762] - спортивные кроссовки,Бежевый,"{'Верх обуви': 'Верх обуви:Верх выполнен из высококачественных текстильных материалов и натуральной кожи, что обеспечивает прочность и долговечность.', 'Подкладка': 'Подкладка:Жесткая подкладка обеспечивает стабилизацию стопы и устойчивость к износу.', 'Зашнуровка': 'Зашнуровка:Классическая система шнуровки обеспечивает надежную фиксацию.', 'Стелька': 'Стелька:Прочная стелька из материала предоставляет отличную амортизацию и вентиляцию стопы, предотвращая переутомление ног.', 'Подошва': 'Подошва:Подошва из высококачественного, долговечного синтетического материала обеспечивает отличное сцепление и износостойкость.', 'Амортизация': 'Амортизация:Пена EVA, использованная в средней и внешней подошве, гарантирует превосходную амортизацию, снижая нагрузку на суставы.'}",Мужской,6 975 ,https://cdn.4stand.com/large/34/b4/34b4a39f5031970d63385ab4c5ec84234ec19d6c.jpg,34b4a39f5031970d63385ab4c5ec84234ec19d6c.jpg
/p-adidas-samba-V131760199,Adidas Samba,Adidas Samba,Бежевый,{},Мужской,23 423 ,https://cdn.4stand.com/large/14/57/1457344a21bb2609242ef007ca73ccc21a071512.jpg,1457344a21bb2609242ef007ca73ccc21a071512.jpg
